año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|15 - Antonio Nariño|60 a 64|4482|523|0.11668897813476126729
2023|16 - Puente Aranda|60 a 64|15010|512|0.03411059293804130580
2023|17 - La Candelaria|60 a 64|974|194|0.19917864476386036961
2023|18 - Rafael Uribe Uribe|60 a 64|18746|3735|0.19924250506774778619
2023|19 - Ciudad Bolívar|60 a 64|26190|2172|0.08293241695303550974
2023|1 - Usaquén|60 a 64|33234|935|0.02813383883974243245
2023|20 - Sumapaz|60 a 64|145|131|0.90344827586206896552
2023|2 - Chapinero|60 a 64|9331|52|0.00557282177687278963
2023|3 - Santa Fe|60 a 64|4675|1544|0.33026737967914438503
2023|4 - San Cristóbal|60 a 64|19272|3139|0.16287878787878787879
2023|5 - Usme|60 a 64|17037|6582|0.38633562246874449727
2023|6 - Tunjuelito|60 a 64|9079|2887|0.31798656239673972905
2023|7 - Bosa|60 a 64|29581|7603|0.25702308914505932862
2023|8 - Kennedy|60 a 64|49690|6752|0.13588247132219762528
2023|9 - Fontibón|60 a 64|21708|445|0.02049935507646950433
2023|10 - Engativá|65 a 69|34421|2372|0.06891142035385375207
2023|11 - Suba|65 a 69|51991|6575|0.12646419572618337789
2023|12 - Barrios Unidos|65 a 69|6904|169|0.02447856315179606025
2023|13 - Teusaquillo|65 a 69|8403|46|0.00547423539212186124
2023|14 - Los Mártires|65 a 69|2845|266|0.09349736379613356766
2023|15 - Antonio Nariño|65 a 69|3590|526|0.14651810584958217270
2023|16 - Puente Aranda|65 a 69|11071|415|0.03748532201246499865
2023|17 - La Candelaria|65 a 69|804|181|0.22512437810945273632
2023|18 - Rafael Uribe Uribe|65 a 69|14446|3698|0.25598781669666343625
2023|19 - Ciudad Bolívar|65 a 69|20127|1886|0.09370497341879067919
2023|1 - Usaquén|65 a 69|27924|891|0.03190803609798023206
2023|20 - Sumapaz|65 a 69|110|106|0.96363636363636363636
2023|2 - Chapinero|65 a 69|7795|57|0.00731237973059653624
2023|3 - Santa Fe|65 a 69|3637|1405|0.38630739620566400880
2023|4 - San Cristóbal|65 a 69|14211|2705|0.19034550700161846457
2023|5 - Usme|65 a 69|13059|6005|0.45983612834060800980
2023|6 - Tunjuelito|65 a 69|6714|2458|0.36610068513553768245
2023|7 - Bosa|65 a 69|20264|6287|0.31025463876825898144
2023|8 - Kennedy|65 a 69|37708|5736|0.15211626180120929246
2023|9 - Fontibón|65 a 69|16200|418|0.02580246913580246914
2023|10 - Engativá|70 a 74|24559|1884|0.07671322122236247404
2023|11 - Suba|70 a 74|37161|5249|0.14125023546190899061
