año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|6 - Tunjuelito|55 a 59|10206|2438|0.23887909073094258279
2023|7 - Bosa|55 a 59|38299|7576|0.19781195331470795582
2023|8 - Kennedy|55 a 59|59225|6796|0.11474883917264668637
2023|9 - Fontibón|55 a 59|25065|420|0.01675643327348892879
2023|10 - Engativá|60 a 64|45836|2725|0.05945108648224103325
2023|11 - Suba|60 a 64|68409|7483|0.10938619187533804032
2023|12 - Barrios Unidos|60 a 64|8641|151|0.01747482930216410138
2023|13 - Teusaquillo|60 a 64|10250|43|0.00419512195121951220
2023|14 - Los Mártires|60 a 64|3814|282|0.07393812270582066072
2023|15 - Antonio Nariño|60 a 64|4482|524|0.11691209281570727354
2023|16 - Puente Aranda|60 a 64|15010|512|0.03411059293804130580
2023|17 - La Candelaria|60 a 64|974|194|0.19917864476386036961
2023|18 - Rafael Uribe Uribe|60 a 64|18746|3735|0.19924250506774778619
2023|19 - Ciudad Bolívar|60 a 64|26190|2172|0.08293241695303550974
2023|1 - Usaquén|60 a 64|33234|936|0.02816392850695071313
2023|20 - Sumapaz|60 a 64|145|130|0.89655172413793103448
2023|2 - Chapinero|60 a 64|9331|52|0.00557282177687278963
2023|3 - Santa Fe|60 a 64|4675|1541|0.32962566844919786096
2023|4 - San Cristóbal|60 a 64|19272|3141|0.16298256537982565380
2023|5 - Usme|60 a 64|17037|6588|0.38668779714738510301
2023|6 - Tunjuelito|60 a 64|9079|2882|0.31743584095164665712
2023|7 - Bosa|60 a 64|29581|7595|0.25675264527906426422
2023|8 - Kennedy|60 a 64|49690|6757|0.13598309519017911049
2023|9 - Fontibón|60 a 64|21708|445|0.02049935507646950433
2023|10 - Engativá|65 a 69|34421|2373|0.06894047238604340374
2023|11 - Suba|65 a 69|51991|6580|0.12656036621722990518
2023|12 - Barrios Unidos|65 a 69|6904|167|0.02418887601390498262
2023|13 - Teusaquillo|65 a 69|8403|46|0.00547423539212186124
2023|14 - Los Mártires|65 a 69|2845|266|0.09349736379613356766
2023|15 - Antonio Nariño|65 a 69|3590|524|0.14596100278551532033
2023|16 - Puente Aranda|65 a 69|11071|415|0.03748532201246499865
2023|17 - La Candelaria|65 a 69|804|180|0.22388059701492537313
2023|18 - Rafael Uribe Uribe|65 a 69|14446|3702|0.25626470995431261249
2023|19 - Ciudad Bolívar|65 a 69|20127|1889|0.09385402692900084464
2023|1 - Usaquén|65 a 69|27924|890|0.03187222460965477725
2023|20 - Sumapaz|65 a 69|110|107|0.97272727272727272727
2023|2 - Chapinero|65 a 69|7795|57|0.00731237973059653624
2023|3 - Santa Fe|65 a 69|3637|1403|0.38575749243882320594
2023|4 - San Cristóbal|65 a 69|14211|2704|0.19027513897684891985
2023|5 - Usme|65 a 69|13059|6005|0.45983612834060800980
2023|6 - Tunjuelito|65 a 69|6714|2465|0.36714328269288054811
2023|7 - Bosa|65 a 69|20264|6297|0.31074812475325700750
2023|8 - Kennedy|65 a 69|37708|5731|0.15198366394399066511
2023|9 - Fontibón|65 a 69|16200|417|0.02574074074074074074
2023|10 - Engativá|70 a 74|24559|1883|0.07667250295207459587
2023|11 - Suba|70 a 74|37161|5243|0.14108877586717257340
2023|12 - Barrios Unidos|70 a 74|5213|115|0.02206023403030884328
2023|13 - Teusaquillo|70 a 74|6146|32|0.00520663846404165311
2023|14 - Los Mártires|70 a 74|2019|217|0.10747894997523526498
2023|15 - Antonio Nariño|70 a 74|2545|422|0.16581532416502946955
2023|16 - Puente Aranda|70 a 74|7920|395|0.04987373737373737374
2023|17 - La Candelaria|70 a 74|525|149|0.28380952380952380952
2023|18 - Rafael Uribe Uribe|70 a 74|10181|2999|0.29456831352519398880
2023|19 - Ciudad Bolívar|70 a 74|13527|1449|0.10711909514304723886
2023|1 - Usaquén|70 a 74|21766|748|0.03436552421207387669
2023|20 - Sumapaz|70 a 74|90|77|0.85555555555555555556
2023|2 - Chapinero|70 a 74|5404|50|0.00925240562546262028
2023|3 - Santa Fe|70 a 74|2594|1221|0.47070161912104857363
2023|4 - San Cristóbal|70 a 74|9812|2230|0.22727272727272727273
2023|5 - Usme|70 a 74|8488|4599|0.54182375117813383600
2023|6 - Tunjuelito|70 a 74|4616|1851|0.40099653379549393414
2023|7 - Bosa|70 a 74|14075|4918|0.34941385435168738899
2023|8 - Kennedy|70 a 74|26761|4387|0.16393258846829341205
2023|9 - Fontibón|70 a 74|11337|335|0.02954926347358207639
2023|10 - Engativá|75 a 79|17006|1360|0.07997177466776431848
2023|11 - Suba|75 a 79|24847|3666|0.14754296293315088341
2023|12 - Barrios Unidos|75 a 79|3494|63|0.01803091013165426445
2023|13 - Teusaquillo|75 a 79|4113|19|0.00461949914903963044
2023|14 - Los Mártires|75 a 79|1318|140|0.10622154779969650986
2023|15 - Antonio Nariño|75 a 79|1698|312|0.18374558303886925795
2023|16 - Puente Aranda|75 a 79|5720|341|0.05961538461538461538
2023|17 - La Candelaria|75 a 79|374|111|0.29679144385026737968
2023|18 - Rafael Uribe Uribe|75 a 79|6558|2182|0.33272339127782860628
2023|19 - Ciudad Bolívar|75 a 79|8379|1017|0.12137486573576799141
2023|1 - Usaquén|75 a 79|15368|581|0.03780583029672045809
2023|20 - Sumapaz|75 a 79|80|48|0.60000000000000000000
2023|2 - Chapinero|75 a 79|3859|37|0.00958797615962684633
2023|3 - Santa Fe|75 a 79|1693|829|0.48966331955109273479
2023|4 - San Cristóbal|75 a 79|6716|1607|0.23927933293627159023
2023|5 - Usme|75 a 79|5158|3113|0.60352849941837921675
2023|6 - Tunjuelito|75 a 79|3036|1328|0.43741765480895915679
2023|7 - Bosa|75 a 79|8805|3262|0.37047132311186825667
2023|8 - Kennedy|75 a 79|17535|3174|0.18100940975192472198
2023|9 - Fontibón|75 a 79|7551|244|0.03231360084756985830
2023|10 - Engativá|80 a 84|10897|907|0.08323391759199779756
2023|11 - Suba|80 a 84|14740|2312|0.15685210312075983718
2023|12 - Barrios Unidos|80 a 84|2350|64|0.02723404255319148936
2023|13 - Teusaquillo|80 a 84|2684|21|0.00782414307004470939
